chr	start	end	id	Meth_mESC	Meth_E11_5_CF	Meth_E11_5_FB	Meth_E11_5_HB	Meth_E11_5_HT	Meth_E11_5_LM	Meth_E11_5_MB	Meth_E11_5_NT	Meth_E11_5_LV	H3K4me1_mESC	H3K4me1_E11_5_CF	H3K4me1_E11_5_FB	H3K4me1_E11_5_HB	H3K4me1_E11_5_HT	H3K4me1_E11_5_LM	H3K4me1_E11_5_MB	H3K4me1_E11_5_NT	H3K4me1_E11_5_LV	H3K4me2_mESC	H3K4me2_E11_5_CF	H3K4me2_E11_5_FB	H3K4me2_E11_5_HB	H3K4me2_E11_5_HT	H3K4me2_E11_5_LM	H3K4me2_E11_5_MB	H3K4me2_E11_5_NT	H3K4me2_E11_5_LV	H3K4me3_mESC	H3K4me3_E11_5_CF	H3K4me3_E11_5_FB	H3K4me3_E11_5_HB	H3K4me3_E11_5_HT	H3K4me3_E11_5_LM	H3K4me3_E11_5_MB	H3K4me3_E11_5_NT	H3K4me3_E11_5_LV	H3K27ac_mESC	H3K27ac_E11_5_CF	H3K27ac_E11_5_FB	H3K27ac_E11_5_HB	H3K27ac_E11_5_HT	H3K27ac_E11_5_LM	H3K27ac_E11_5_MB	H3K27ac_E11_5_NT	H3K27ac_E11_5_LV	H3K27me3_mESC	H3K27me3_E11_5_CF	H3K27me3_E11_5_FB	H3K27me3_E11_5_HB	H3K27me3_E11_5_HT	H3K27me3_E11_5_LM	H3K27me3_E11_5_MB	H3K27me3_E11_5_NT	H3K27me3_E11_5_LV	H3K9ac_mESC	H3K9ac_E11_5_CF	H3K9ac_E11_5_FB	H3K9ac_E11_5_HB	H3K9ac_E11_5_HT	H3K9ac_E11_5_LM	H3K9ac_E11_5_MB	H3K9ac_E11_5_NT	H3K9ac_E11_5_LV
chr19	25485743	25487744	p300_16	0.0472733	0.372375	0.44772399999999996	0.44254899999999997	0.361748	0.400883	0.488788	0.409969	0.377308	-0.36142399999999997	0.693711	1.0117200000000002	0.9534309999999999	1.40677	1.39452	0.858979	0.263936	1.37034	2.5632	0.527849	0.469754	0.686403	1.5677	1.14291	0.309721	0.0999666	0.877184	2.8065700000000002	-0.253158	-0.915322	-0.430226	0.7590560000000001	0.668715	-0.408233	-0.573702	0.524274	3.1337599999999997	-0.0729094	-0.161962	0.00957823	0.216383	0.0249967	0.307246	-0.259816	0.502867	-2.24911	1.19729	1.50922	1.61665	1.66746	1.49476	2.1644799999999997	0.753836	2.97167	1.6664	0.527047	0.0914797	0.456879	1.1958799999999998	0.822415	0.6642779999999999	0.134708	0.8480110000000001
chr19	44695982	44697983	p300_38	0.325559	0.494438	0.46327399999999996	0.469337	0.42033100000000007	0.5028630000000001	0.473884	0.482497	0.429262	1.2089	0.9997540000000001	0.403931	1.16088	0.278649	0.408279	1.73005	0.709551	0.700761	1.9597	0.805634	-0.0623678	0.56195	-0.23356500000000002	-0.6234	1.2049	0.5915729999999999	-0.7133189999999999	-0.137177	0.110803	-0.513038	-0.126461	-0.11346500000000001	0.06747689999999999	0.688079	0.049430800000000004	-0.11788299999999999	3.7548	0.19070299999999998	-0.127774	1.6285399999999999	0.20864000000000002	-0.0720426	1.71452	1.2572	0.49339700000000003	-1.02496	2.2497599999999998	1.51315	1.57813	2.5667400000000002	1.91262	1.87143	1.0878299999999999	3.11992	1.6206200000000002	0.5033310000000001	0.404382	1.07513	0.133629	-0.0670304	1.6321	0.8447020000000001	0.160572
chr19	25487776	25489777	p300_58	0.026029200000000002	0.27481300000000003	0.27429899999999996	0.414617	0.465149	0.419767	0.351744	0.48535500000000004	0.46822700000000006	1.00029	0.589958	1.3510799999999998	0.811828	0.12008900000000002	1.10338	0.777613	0.728409	0.141869	1.98394	-0.149085	-1.03233	-1.52157	-0.334069	-0.18204700000000001	-0.39834400000000003	0.3755	-0.9133950000000001	0.0755779	-1.7131299999999998	-1.15209	-0.24366500000000002	-0.63683	-0.617512	-0.666435	0.34721599999999997	-1.13477	5.37461	-0.189708	0.250368	-0.423752	-0.352379	-0.050048199999999994	0.0817028	0.639679	-0.358166	-1.53596	0.729495	0.918063	1.14798	1.85405	0.632587	1.13388	1.5564799999999999	1.76563	1.61956	0.267538	0.17840699999999998	-0.0945421	0.380851	0.21045999999999998	0.0718639	0.887791	-0.452021
chr19	53460134	53462135	p300_87	0.0433049	0.38524	0.399692	0.414763	0.420023	0.43065299999999995	0.423155	0.42979700000000004	0.444158	0.23263899999999998	1.32687	1.42173	0.728595	1.40529	1.05421	1.51532	1.13634	2.08462	2.31802	0.788851	1.51271	0.820973	1.2604899999999999	-0.5796560000000001	2.02942	0.979632	1.6957200000000001	1.9761799999999998	-0.191333	0.585201	0.180072	0.41190200000000005	-0.156611	0.947451	0.494183	1.02231	4.16555	0.384461	0.667758	0.162071	0.5109779999999999	0.0700077	0.6894600000000001	0.0828979	1.46396	-2.81395	1.21363	0.615874	0.781195	0.741866	0.9483370000000001	1.34818	1.10746	2.3134900000000003	1.9756900000000002	0.679052	1.15421	0.166451	0.896424	0.300354	1.5936299999999999	0.6463840000000001	1.23421
chr19	5845837	5847838	p300_138	0.0192547	0.0732384	0.0747544	0.0862212	0.137372	0.0812388	0.123673	0.111659	0.114514	0.117443	1.69197	2.29812	1.3212899999999999	2.62315	1.9144900000000002	3.3326599999999997	1.57322	2.54739	2.9116299999999997	2.61556	3.5491800000000002	2.80445	4.21117	3.25527	3.83565	2.40943	4.10358	2.35279	1.93934	2.49329	1.80952	3.18637	2.22451	3.0506599999999997	1.57935	2.90453	3.85291	3.18127	3.92529	3.44616	4.81749	3.5449900000000003	4.35775	3.04732	4.5745	-3.03288	-0.276306	-0.25395500000000004	-0.450563	-0.145043	0.388977	0.776814	-0.25364000000000003	-0.09111	2.29778	2.04906	2.77508	1.96218	3.2825599999999997	2.025	3.35402	1.94357	3.32939
chr19	5848284	5850285	p300_155	0.075418	0.366976	0.516396	0.462888	0.37651399999999996	0.397719	0.473846	0.427757	0.315042	0.00974519	2.21065	2.32114	1.86537	3.7991699999999997	2.03784	2.69155	2.3367	3.01766	3.4673599999999998	1.51981	1.27735	1.00247	3.40194	1.26939	1.58748	1.36576	3.0739799999999997	2.54108	0.909984	0.864252	0.844776	2.5571900000000003	0.739716	1.50825	1.1638700000000002	1.96311	3.42231	1.74357	0.8842049999999999	1.4474799999999999	3.5862800000000004	1.27187	1.6574900000000001	1.8711799999999998	3.19495	-2.7342400000000002	0.0226434	0.20617199999999997	-0.20058399999999998	1.10558	-0.43713100000000005	1.04387	0.573574	-0.496954	2.00088	1.6372	1.67346	1.2311	3.0777400000000004	1.09372	2.06223	1.68635	2.43293
chr19	42321613	42323614	p300_166	0.28938400000000003	0.687098	0.660625	0.545991	0.579906	0.673249	0.5820930000000001	0.620816	0.6068479999999999	1.07061	0.941459	1.4809	0.798049	-0.178034	0.48448599999999997	1.3811200000000001	0.643726	-0.348646	1.78152	0.9045139999999999	0.546916	0.195497	-0.5461239999999999	-0.28289200000000003	0.147161	-0.222558	-0.38548000000000004	-0.25662199999999996	0.761921	-0.258094	0.23864899999999997	-0.8915930000000001	-0.09085139999999998	-0.024828700000000002	-1.14205	0.314471	2.6787	0.380227	0.857028	0.799758	0.141975	0.20122	0.337582	0.253309	0.140671	-2.57655	1.37695	0.934624	0.47303599999999996	1.7764	0.364464	1.00433	0.12178199999999999	1.52294	0.552751	1.04641	0.9507540000000001	0.47851400000000005	-0.324298	0.385851	1.01365	0.286489	0.289682
chr19	23121100	23123101	p300_217	0.168772	0.6400170000000001	0.648946	0.624421	0.459837	0.49852700000000005	0.668556	0.6014010000000001	0.506404	0.8233309999999999	0.551064	1.08134	-0.03742619999999999	0.406556	0.296029	0.35699000000000003	-0.5982149999999999	0.8221370000000001	2.17178	-0.28324499999999997	-0.115147	-0.6570199999999999	-0.476549	-0.653384	0.164167	-0.630318	0.5133989999999999	0.17397	-1.05273	-1.03789	-0.44991099999999995	-0.685405	-0.462013	-0.573699	-0.897148	-0.460502	2.43476	0.30525	0.225543	-0.943808	-0.376231	-0.11521500000000001	-0.191887	-0.23961999999999997	0.10641700000000001	-1.24251	0.325015	0.598826	-0.053131500000000005	0.9445520000000001	0.35520300000000005	0.963664	0.08843619999999999	0.9036700000000001	1.28735	-0.43083	0.47908900000000004	-0.46971899999999994	0.40003	-0.267496	0.5296960000000001	0.0746192	0.41998599999999997
chr19	47449782	47451783	p300_230	0.153558	0.594784	0.563681	0.45788100000000004	0.528899	0.555754	0.47107899999999997	0.41333100000000006	0.605209	1.371	0.855773	1.46718	1.24369	2.73523	1.6009200000000001	1.71458	1.6465400000000001	2.41255	2.32404	0.141718	0.340607	-0.24630500000000002	1.24597	-0.166082	-0.332362	-0.49899499999999997	1.08361	-0.28212600000000004	-0.6786260000000001	0.163329	-0.311203	0.484786	-0.890711	0.172879	-0.11189	0.00487073	2.3912	0.562975	0.42464300000000005	0.48077299999999995	2.86959	0.799063	0.326736	0.460665	1.62529	-3.19823	-0.673317	0.551195	0.0701165	0.482847	0.369318	-0.038236900000000004	0.126088	-0.108643	-0.0959188	0.040267000000000004	1.1273600000000001	0.573079	1.58889	0.640782	0.29238200000000003	0.66743	1.35033
chr19	53022405	53024406	p300_254	0.147053	0.874461	0.9125989999999999	0.897141	0.668878	0.87745	0.894955	0.865691	0.8314799999999999	1.01386	0.8822979999999999	0.32303000000000004	0.399521	2.5129200000000003	0.406696	-0.14094500000000001	0.39851	1.31779	2.90302	-0.125369	-0.598797	0.0482978	0.6649619999999999	-0.322212	-0.32421500000000003	-0.0283005	0.145786	0.6381560000000001	0.11612	-0.369183	-0.416092	0.7206670000000001	-0.28417800000000004	-0.7661789999999999	-0.498418	-0.38058600000000004	2.49682	0.724989	-0.0846896	0.0371537	1.45999	0.780157	0.6620020000000001	0.402094	0.69918	-3.5581	0.0715133	-0.320552	0.40060500000000004	0.34029499999999996	0.16251400000000002	0.11963800000000001	0.20810900000000002	-0.726288	0.522878	0.8550459999999999	0.014949299999999999	0.632307	1.35384	0.5859880000000001	0.8458829999999999	0.674597	0.9764940000000001
